iter	Passed	Remaining
650	1387	743
651	1389	741
652	1392	739
653	1394	737
654	1395	734
655	1396	732
656	1398	729
657	1399	727
658	1400	724
659	1402	722
660	1403	719
661	1406	718
662	1408	716
663	1410	713
664	1411	711
665	1412	708
666	1414	706
667	1415	703
668	1417	701
669	1418	698
670	1420	696
671	1422	694
672	1423	691
673	1425	689
674	1426	686
675	1427	684
676	1429	681
677	1430	679
678	1431	676
679	1433	674
680	1434	672
681	1436	669
682	1437	667
683	1438	664
684	1440	662
685	1441	659
686	1443	657
687	1444	654
688	1445	652
689	1448	650
690	1450	648
691	1453	646
692	1454	644
693	1456	642
694	1457	639
695	1459	637
696	1461	635
697	1463	633
698	1465	631
699	1467	628
700	1468	626
701	1470	624
702	1471	621
703	1472	619
704	1474	616
705	1474	614
706	1476	612
707	1478	609
708	1510	620
709	1517	619
710	1519	617
711	1521	615
712	1522	612
713	1524	610
714	1526	608
715	1528	606
716	1530	604
717	1531	601
718	1534	599
719	1537	597
720	1539	595
721	1540	593
722	1554	595
723	1555	593
724	1557	590
725	1561	589
726	1563	586
727	1564	584
728	1568	582
729	1570	580
730	1579	581
731	1581	578
732	1582	576
733	1584	574
734	1587	572
735	1589	570
736	1591	567
737	1592	565
738	1594	562
739	1595	560
740	1599	559
741	1600	556
742	1602	554
743	1603	551
744	1605	549
745	1607	547
746	1608	544
747	1610	542
748	1611	540
749	1613	537
750	1614	535
751	1616	532
752	1617	530
753	1618	528
754	1620	525
755	1622	523
756	1624	521
757	1625	518
758	1626	516
759	1627	514
760	1629	511
761	1630	509
762	1631	506
763	1633	504
764	1634	502
765	1636	499
766	1638	497
767	1639	495
768	1640	492
769	1642	490
770	1643	488
771	1644	485
772	1646	483
773	1647	481
774	1651	479
775	1654	477
776	1658	475
777	1660	473
778	1662	471
779	1664	469
780	1666	467
781	1668	465
782	1672	463
783	1674	461
784	1676	459
785	1680	457
786	1682	455
787	1684	453
788	1689	451
789	1697	451
790	1699	448
791	1701	446
792	1703	444
793	1705	442
794	1706	440
795	1713	439
796	1715	436
797	1718	434
798	1719	432
799	1722	430
800	1724	428
801	1727	426
802	1731	424
803	1734	422
804	1737	420
805	1747	420
806	1750	418
807	1752	416
808	1754	414
809	1759	412
810	1764	411
811	1766	409
812	1768	406
813	1771	404
814	1773	402
815	1775	400
816	1776	397
817	1780	396
818	1781	393
819	1783	391
820	1785	389
821	1797	389
822	1801	387
823	1805	385
824	1806	383
825	1811	381
826	1813	379
827	1818	377
828	1822	376
829	1825	373
830	1827	371
831	1829	369
832	1831	367
833	1833	364
834	1835	362
835	1839	360
836	1841	358
837	1842	356
838	1844	353
839	1846	351
840	1848	349
841	1851	347
842	1853	345
843	1854	342
844	1856	340
845	1858	338
846	1860	336
847	1862	333
848	1863	331
849	1865	329
850	1867	326
851	1869	324
852	1870	322
853	1872	320
854	1874	317
855	1876	315
856	1877	313
857	1879	311
858	1882	308
859	1883	306
860	1885	304
861	1887	302
862	1889	300
863	1892	297
864	1894	295
865	1896	293
866	1898	291
867	1900	289
868	1903	286
869	1905	284
870	1907	282
871	1909	280
872	1912	278
873	1915	276
874	1918	274
875	1921	272
876	1923	269
877	1928	268
878	1930	265
879	1931	263
880	1933	261
881	1934	258
882	1936	256
883	1938	254
884	1939	252
885	1941	249
886	1944	247
887	1946	245
888	1948	243
889	1951	241
890	1954	239
891	1957	236
892	1961	235
893	1964	232
894	1966	230
895	1968	228
896	1969	226
897	1971	223
898	1973	221
899	1974	219
900	1976	217
901	1977	214
902	1978	212
903	1980	210
904	1981	208
905	1983	205
906	1984	203
907	1985	201
908	1987	198
909	1988	196
910	1990	194
911	1991	192
912	1992	189
913	1993	187
914	1995	185
915	1996	183
916	1997	180
917	1998	178
918	2000	176
919	2002	174
920	2003	171
921	2005	169
922	2006	167
923	2008	165
924	2009	162
925	2010	160
926	2011	158
927	2012	156
928	2014	153
929	2015	151
930	2017	149
931	2018	147
932	2019	145
933	2021	142
934	2022	140
935	2024	138
936	2025	136
937	2026	133
938	2027	131
939	2028	129
940	2030	127
941	2032	125
942	2033	122
943	2035	120
944	2036	118
945	2038	116
946	2039	114
947	2040	111
948	2042	109
949	2043	107
950	2044	105
951	2046	103
952	2050	101
953	2052	98
954	2053	96
955	2055	94
956	2056	92
957	2057	90
958	2059	88
959	2060	85
960	2063	83
961	2065	81
962	2068	79
963	2069	77
964	2070	75
965	2074	73
966	2075	70
967	2077	68
968	2079	66
969	2080	64
970	2082	62
971	2083	60
972	2084	57
973	2086	55
974	2087	53
975	2088	51
976	2090	49
977	2091	47
978	2092	44
979	2094	42
980	2097	40
981	2098	38
982	2102	36
983	2103	34
984	2104	32
985	2106	29
986	2108	27
987	2110	25
988	2111	23
989	2112	21
990	2113	19
991	2116	17
992	2117	14
993	2118	12
994	2119	10
995	2121	8
996	2123	6
997	2124	4
998	2125	2
999	2126	0
